CreateMeshBuilder
AddVertex,-1.5,4.7,25.3
AddVertex,-1.5,4.7,0
AddVertex,-2.7,4.7,0
AddVertex,-2.7,4.7,25.3
AddFace2,3,2,1,0
GenerateNormals
LoadTexture,roof.png
SetTextureCoordinates,0,0,4
SetTextureCoordinates,1,0,0
SetTextureCoordinates,2,1,0
SetTextureCoordinates,3,1,4
SetColor,192,192,192

CreateMeshBuilder
AddVertex,-1.5,4.7,25.3
AddVertex,-1.5,4.7,0
AddVertex,-1.5,4.4,0
AddVertex,-1.5,4.4,25.3
AddFace2,3,2,1,0
GenerateNormals
LoadTexture,roof.png
SetTextureCoordinates,0,0,4
SetTextureCoordinates,1,0,0
SetTextureCoordinates,2,1,0
SetTextureCoordinates,3,1,4

CreateMeshBuilder
AddVertex,-3.05,4.5,25.1
AddVertex,-3.05,4.7,25.1
AddVertex,-3.05,4.7,0
AddVertex,-3.05,4.5,0
AddVertex,-3.05,1.1,0
AddVertex,-3.05,1.1,0.1
AddVertex,-3.05,4.5,0.1
AddVertex,-3.05,4.5,12.4
AddVertex,-3.05,1.1,12.4
AddVertex,-3.05,1.1,12.6
AddVertex,-3.05,4.5,12.6
AddVertex,-3.05,4.5,24.9
AddVertex,-3.05,1.1,24.9
AddVertex,-3.05,1.1,25.1
AddVertex,-3.25,4.5,25.1
AddVertex,-3.25,4.7,25.1
AddVertex,-3.25,4.7,0
AddVertex,-3.25,4.5,0
AddVertex,-3.25,1.1,0
AddVertex,-3.25,1.1,0.1
AddVertex,-3.25,4.5,0.1
AddVertex,-3.25,4.5,12.4
AddVertex,-3.25,1.1,12.4
AddVertex,-3.25,1.1,12.6
AddVertex,-3.25,4.5,12.6
AddVertex,-3.25,4.5,24.9
AddVertex,-3.25,1.1,24.9
AddVertex,-3.25,1.1,25.1
AddFace,3,2,1,0
AddFace,6,5,4,3
AddFace,10,9,8,7
AddFace,0,13,12,11
AddFace,14,15,16,17
AddFace,17,18,19,20
AddFace,21,22,23,24
AddFace,25,26,27,14
AddFace,14,17,3,0
AddFace,18,16,2,4
AddFace,22,21,7,8
AddFace,26,25,11,12
SetColor,192,192,192
